,Production Budget,Director Twitter following,Top 3,Cast Twitter Following,Avg English Score,Rare English Score,Common English Score
0,90000000.0,11112,205321.0,417872.0,14521.461538461499,100000.0,127.333333333333
1,150000000.0,1177223,11784.0,3516975.0,28088.75,100000.0,191.0
2,150000000.0,5870,325.0,20456058.0,20274.2857142857,76070.6666666667,573.333333333333
3,150000000.0,184509,412196.0,1561794.0,19790.4090909091,100000.0,130.666666666667
4,165000000.0,3116066,889034.0,10136676.0,26858.1666666667,97542.0,504.333333333333
5,165000000.0,24804,14445508.0,43336986.0,17162.0,74575.3333333333,403.333333333333
6,175000000.0,624,2115622.0,20849352.0,16562.9545454545,100000.0,100.0
7,125000000.0,221,522770.0,1667319.0,25322.4375,96542.3333333333,93.6666666666667
8,150000000.0,2409,42.0,87708933.0,22048.235294117596,100000.0,56.6666666666667
9,150000000.0,12317,11316462.0,34096380.0,31767.7142857143,100000.0,66.0
10,150000000.0,15856,27139.0,351774.0,20565.8333333333,70891.0,854.333333333333
11,170000000.0,97918,244532.0,788874.0,11424.166666666699,47569.0,324.0
12,90000000.0,183,900320.0,5226567.0,15486.0,61327.6666666667,173.0
13,95000000.0,41892,10923.0,13700712.0,17752.375,73749.3333333333,124.0
14,100000000.0,1019864,39504.0,16650258.0,27175.0,100000.0,75.0
15,165000000.0,16585,2770605.0,10819032.0,19374.352941176498,77493.6666666667,113.333333333333
16,150000000.0,146723,4574969.0,13727142.0,10639.6666666667,36578.6666666667,292.0
17,165000000.0,1725,578730.0,1741404.0,38370.15,100000.0,129.0
18,165000000.0,105336,1931804.0,5796399.0,26531.7,100000.0,54.0
19,100000000.0,2550241,19342.0,19974192.0,30412.052631578907,100000.0,61.3333333333333
20,155000000.0,1786,5681514.0,17069313.0,19988.75,100000.0,138.0
21,95000000.0,22685,74336.0,224826.0,18099.380952381,100000.0,434.333333333333
22,110000000.0,2409,48677.0,3394718.0,29096.2105263158,100000.0,313.0
23,165000000.0,113885,111552.0,344694.0,22525.769230769198,88756.3333333333,278.66666666666697
24,150000000.0,10437,63780.0,797664.0,28008.3333333333,100000.0,109.666666666667
25,90000000.0,495,287257.0,23454357.0,13105.3076923077,52932.3333333333,225.666666666667
26,150000000.0,34713,110.0,239361.0,19296.125,75557.3333333333,153.333333333333
27,145000000.0,327,2398.0,251070.0,35221.75,100000.0,96.3333333333333
28,190000000.0,146723,1644411.0,4936782.0,19342.8260869565,100000.0,261.66666666666697
29,150000000.0,105336,101365.0,28932483.0,13792.8571428571,77798.6666666667,178.666666666667
30,150000000.0,522,627.0,7785384.0,11538.9473684211,61702.6666666667,158.666666666667
31,106000000.0,10437,111783.0,338049.0,15120.8076923077,100000.0,76.0
32,138000000.0,700286,318718.0,1058121.0,23964.4782608696,100000.0,76.0
33,90000000.0,5746568,6000142.0,41161294.0,23603.1875,100000.0,165.0
34,95000000.0,15318,1023423.0,3473622.0,27286.444444444398,100000.0,186.333333333333
35,170000000.0,4650,3287.0,64850310.0,19731.8846153846,100000.0,66.6666666666667
36,95000000.0,0,135802.0,3796926.0,17768.28,91899.3333333333,225.666666666667
37,170000000.0,5541,26392.0,139548.0,19052.4166666667,61375.3333333333,110.666666666667
38,110000000.0,522,3668.0,11711094.0,30380.263157894704,100000.0,356.333333333333
39,100000000.0,82,4788.0,533565.0,26902.8947368421,100000.0,625.666666666667
40,150000000.0,3943,16029766.0,48089454.0,22457.7826086957,100000.0,119.0
41,110000000.0,36317,924602.0,2854380.0,19071.8333333333,100000.0,105.666666666667
42,144000000.0,2179331,2027802.0,6138105.0,28492.6,100000.0,611.333333333333
43,90000000.0,42,851379.0,6453538.0,22800.2142857143,85258.3333333333,102.666666666667
44,200000000.0,827,8147.0,48808119.0,26351.25,100000.0,634.666666666667
45,102000000.0,390,708755.0,33364204.0,11419.833333333301,75051.3333333333,65.6666666666667
46,150000000.0,53,471033.0,1413969.0,13898.1333333333,52319.6666666667,256.33333333333303
47,180000000.0,6390,65545.0,10274997.0,25133.368421052597,100000.0,296.0
48,150000000.0,2611411,90607.0,355806.0,17659.6666666667,78161.3333333333,130.333333333333
49,140000000.0,513,2741970.0,8455707.0,23881.6363636364,100000.0,566.666666666667
50,120000000.0,2,1131278.0,12477234.0,10046.7857142857,72560.6666666667,54.0
51,160000000.0,349036,515462.0,1566828.0,25799.6363636364,100000.0,95.3333333333333
52,120000000.0,38,113165.0,798336.0,36146.8235294118,100000.0,315.66666666666697
